fold,horizon_bucket,radius_90,covered
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,True
5,Days 8–21,11.801449291348263,False
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,True
5,Days 22–30,15.370149166109002,False
5,Days 22–30,15.370149166109002,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,False
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,False
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,True
6,Days 1–7,14.69831173220632,False
6,Days 1–7,14.69831173220632,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,True
6,Days 8–21,11.801449291348263,False
6,Days 8–21,11.801449291348263,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
6,Days 22–30,14.553969747807855,True
